slug,name,skill_type,level,root_slug,visibility,content_chars,content_lines,has_embedding,practice_areas
corporate-code-of-conduct-and-ethics-drafting,Code of Conduct and Ethics,form,2,corporate,public,21135,80,t,"[""Corporate""]"
comfort-letter-from-auditors,Comfort Letter from Auditors,form,2,corporate,public,8157,56,t,"[""Corporate"", ""Regulatory""]"
draft-corporate-confidentiality-nda,Confidentiality Agreement NDA,form,2,corporate,public,26980,110,t,"[""Corporate""]"
confidentiality-invention-assignment-agreement-drafting,Confidentiality and Invention Assignment Agreement,form,2,corporate,public,47922,160,t,"[""Corporate"", ""Transactional""]"
corporate-conflict-of-interest-policy-draft,Conflict of Interest Policy,form,2,corporate,public,7769,26,t,"[""Corporate""]"
congressional-testimony-preparation,Congressional Testimony Preparation,form,2,corporate,public,8364,20,t,"[""Corporate"", ""Regulatory""]"
convertible-note-purchase-agreement,Convertible Note Purchase Agreement,form,2,corporate,public,6414,30,t,"[""Corporate"", ""Transactional""]"
draft-corporate-bylaws,Corporate Bylaws,form,2,corporate,public,38940,122,t,"[""Corporate""]"
corporate-compliance-checklist,Corporate Compliance Checklist,form,2,corporate,public,34924,126,t,"[""Corporate""]"
corporate-resolutions-bank-account,Corporate Resolutions for Bank Account,form,2,corporate,public,10385,48,t,"[""Corporate""]"
directed-share-program,Directed Share Program,form,2,corporate,public,18712,80,t,"[""Corporate"", ""Transactional""]"
corporate-director-officer-questionnaire,Director and Officer Questionnaire,form,2,corporate,public,55734,158,t,"[""Corporate""]"
corporate-mergers-and-acquisitions-disclosure-schedules,Disclosure Schedules,form,2,corporate,public,31989,108,t,"[""Corporate"", ""Transactional""]"
corporate-distribution-of-assets-plan,Distribution of Assets Plan,form,2,corporate,public,5915,30,t,"[""Corporate""]"
corporate-dividend-declaration-resolution,Dividend Declaration Resolution,form,2,corporate,public,14956,58,t,"[""Corporate""]"
nonprofit-document-retention-policy,Document Retention Policy (Nonprofit),form,2,corporate,public,8825,30,t,"[""Corporate"", ""Regulatory""]"
corporate-donation-agreement,Donation Agreement,form,2,corporate,public,10894,50,t,"[""Corporate"", ""Transactional""]"
corporate-due-diligence-checklist,Due Diligence Checklist,form,2,corporate,public,12425,42,t,"[""Corporate"", ""Transactional""]"
corporate-ma-earn-out-agreement-draft,Earn Out Agreement,form,2,corporate,public,29988,116,t,"[""Corporate""]"
corporate-nonprofit-endowment-policy-statement,Endowment Policy Statement,form,2,corporate,public,16086,60,t,"[""Corporate""]"
draft-equity-distribution-agreement-atm,Equity Distribution Agreement (ATM),form,2,corporate,public,41379,134,t,"[""Corporate""]"
corporate-mergers-and-acquisitions-escrow-agreement-draft,Escrow Agreement,form,2,corporate,public,28791,144,t,"[""Corporate"", ""Transactional""]"
executive-summaries,Executive Summaries,form,2,corporate,public,4912,30,t,"[""Corporate""]"
corporate-final-report-of-dissolution,Final Report of Dissolution,form,2,corporate,public,22616,80,t,"[""Corporate""]"
corporate-final-tax-return-filing,Final Tax Return Filing,form,2,corporate,public,23665,84,t,"[""Corporate"", ""Regulatory""]"
corporate-finders-fee-agreement-draft,Finder's Fee Agreement,form,2,corporate,public,23926,62,t,"[""Corporate"", ""Transactional""]"
corporate-nonprofit-fiscal-sponsorship-agreement,Fiscal Sponsorship Agreement,form,2,corporate,public,13904,62,t,"[""Corporate"", ""Transactional""]"
corporate-foreign-corporation-registration,Foreign Corporation Registration,form,2,corporate,public,27229,76,t,"[""Corporate""]"
form-10k-annual-report-drafting,Form 10-K Annual Report,form,2,corporate,public,79591,328,t,"[""Corporate"", ""Regulatory""]"
form-10-q-quarterly-report-draft,Form 10-Q Quarterly Report,form,2,corporate,public,16981,50,t,"[""Corporate"", ""Regulatory""]"
form-8k-current-report-draft,Form 8-K Current Report,form,2,corporate,public,11853,40,t,"[""Corporate"", ""Regulatory""]"
form-d-notice-of-exempt-offering,Form D Notice of Exempt Offering,form,2,corporate,public,8905,20,t,"[""Corporate"", ""Regulatory""]"
form-ss-4-application-for-ein,Form SS-4 Application for EIN,form,2,corporate,public,20025,66,t,"[""Corporate""]"
corporate-grant-agreement,Grant Agreement,form,2,corporate,public,31390,86,t,"[""Corporate"", ""Transactional""]"
guaranty-agreement-drafting,Guaranty Agreement,form,2,corporate,public,13400,61,t,"[""Corporate"", ""Transactional""]"
corporate-hart-scott-rodino-hsr-filing,Hart Scott Rodino HSR Filing,form,2,corporate,public,20312,92,t,"[""Corporate"", ""Regulatory""]"
irs-form-1023-application-for-recognition-of-exemption,IRS Form 1023 Application for Recognition of Exemption,form,2,corporate,public,21033,90,t,"[""Corporate"", ""Regulatory""]"
indemnification-agreement-for-directors,Indemnification Agreement for Directors,form,2,corporate,public,28339,112,t,"[""Corporate"", ""Transactional""]"
corporate-formation-initial-board-resolutions,Initial Board Resolutions,form,2,corporate,public,27968,70,t,"[""Corporate""]"
draft-insider-trading-policy,Insider Trading Policy,form,2,corporate,public,27941,110,t,"[""Corporate"", ""Regulatory""]"
intellectual-property-portfolio-summaries,Intellectual Property (IP) Portfolio Summaries,form,2,corporate,public,6523,38,t,"[""Corporate""]"
draft-intercreditor-agreement,Intercreditor Agreement,form,2,corporate,public,41055,140,t,"[""Corporate"", ""Transactional""]"
investors-rights-agreement-drafting,Investors Rights Agreement,form,2,corporate,public,45677,144,t,"[""Corporate"", ""Transactional""]"
legal-billing-summaries,Legal Billing Summaries,form,2,corporate,public,6771,38,t,"[""Corporate""]"
corporate-mergers-and-acquisitions-legal-opinion-letter,Legal Opinion Letter,form,2,corporate,public,21852,68,t,"[""Corporate"", ""Transactional""]"
legal-project-management-summaries,Legal Project Management Summaries,form,2,corporate,public,6092,34,t,"[""Corporate"", ""Litigation"", ""Regulatory"", ""Transactional""]"
corporate-mergers-and-acquisitions-letter-of-intent-loi,Letter of Intent LOI,form,2,corporate,public,6803,38,t,"[""Corporate""]"
draft-limited-partnership-agreement-lpa,Limited Partnership Agreement LPA,form,2,corporate,public,18803,56,t,"[""Corporate""]"
corporate-finance-loan-and-security-agreement,Loan and Security Agreement,form,2,corporate,public,50744,184,t,"[""Corporate"", ""Transactional""]"
corporate-securities-lock-up-agreement-draft,Lock-Up Agreement,form,2,corporate,public,26038,100,t,"[""Corporate"", ""Regulatory"", ""Transactional""]"
management-rights-letter,Management Rights Letter,form,2,corporate,public,4019,12,t,"[""Corporate""]"
corporate-merger-agreement-drafting,Merger Agreement,form,2,corporate,public,11413,50,t,"[""Corporate"", ""Transactional""]"
draft-minutes-board-of-directors-meeting,Minutes of Board of Directors Meeting,form,2,corporate,public,17381,70,t,"[""Corporate""]"
corporate-non-profit-board-meeting-minutes,Minutes of Non-Profit Board Meeting,form,2,corporate,public,7163,38,t,"[""Corporate""]"
corporate-minutes-shareholders-meeting,Minutes of Shareholders Meeting,form,2,corporate,public,7049,42,t,"[""Corporate""]"
corporate-governance-notice-of-annual-shareholders-meeting,Notice of Annual Shareholders Meeting,form,2,corporate,public,11421,38,t,"[""Corporate""]"
notice-to-creditors-of-dissolution,Notice to Creditors of Dissolution,form,2,corporate,public,18541,74,t,"[""Corporate""]"
opinion-of-counsel-for-sec-filing,Opinion of Counsel for SEC Filing,form,2,corporate,public,33788,88,t,"[""Corporate"", ""Regulatory""]"
organizational-meeting-minutes,Organizational Meeting Minutes,form,2,corporate,public,6367,30,t,"[""Corporate""]"
corporate-plan-of-liquidation-and-dissolution,Plan of Liquidation and Dissolution,form,2,corporate,public,8554,42,t,"[""Corporate"", ""Transactional""]"
corporate-whistleblower-protection-policy-drafting,Policy on Whistleblower Protection,form,2,corporate,public,25892,136,t,"[""Corporate""]"
draft-private-placement-memorandum-ppm,Private Placement Memorandum PPM,form,2,corporate,public,60302,224,t,"[""Corporate"", ""Regulatory"", ""Transactional""]"
pro-forma-capitalization-table,Pro Forma Capitalization Table,form,2,corporate,public,14964,60,t,"[""Corporate""]"
corporate-finance-secured-promissory-note-draft,Promissory Note (Secured),form,2,corporate,public,24896,104,t,"[""Corporate"", ""Transactional""]"
corporate-securities-prospectus-draft,Prospectus,form,2,corporate,public,11651,50,t,"[""Corporate"", ""Regulatory""]"
draft-proxy-statement-corporate-governance,Proxy Statement,form,2,corporate,public,37406,132,t,"[""Corporate"", ""Regulatory""]"
registration-statement-form-s-1,Registration Statement Form S-1,form,2,corporate,public,90334,312,t,"[""Corporate"", ""Regulatory""]"
corporate-related-party-transaction-policy,Related Party Transaction Policy,form,2,corporate,public,15320,58,t,"[""Corporate"", ""Regulatory""]"
request-for-tax-clearance-certificate,Request for Tax Clearance Certificate,form,2,corporate,public,15938,66,t,"[""Corporate"", ""Regulatory""]"
right-of-first-refusal-and-co-sale-agreement-draft,Right of First Refusal and Co Sale Agreement,form,2,corporate,public,10445,38,t,"[""Corporate""]"
risk-analysis-summaries,Risk Analysis Summaries,form,2,corporate,public,4494,22,t,"[""Corporate""]"
risk-assessment-reports,Risk Assessment Reports,form,2,corporate,public,6085,34,t,"[""Corporate""]"
safe-simple-agreement-for-future-equity,Safe Simple Agreement for Future Equity,form,2,corporate,public,15532,68,t,"[""Corporate""]"
series-a-stock-purchase-agreement-draft,Series A Stock Purchase Agreement,form,2,corporate,public,59791,196,t,"[""Corporate""]"
corporate-shareholder-agreement-drafting,Shareholder Agreement,form,2,corporate,public,36692,114,t,"[""Corporate""]"
shareholder-meeting-summaries,Shareholder Meeting Summaries,form,2,corporate,public,5308,36,t,"[""Corporate""]"
shareholder-resolution-to-dissolve,Shareholder Resolution to Dissolve,form,2,corporate,public,7216,36,t,"[""Corporate""]"
corporate-shareholder-rights-plan-drafting,Shareholder Rights Plan,form,2,corporate,public,32973,132,t,"[""Corporate""]"
shelf-registration-statement-form-s-3,Shelf Registration Statement (Form S-3),form,2,corporate,public,34431,136,t,"[""Corporate"", ""Regulatory""]"
corporate-venture-capital-side-letter-draft,Side Letter,form,2,corporate,public,13470,50,t,"[""Corporate""]"
corporate-state-qualification-to-do-business,State Qualification to Do Business,form,2,corporate,public,11218,52,t,"[""Corporate""]"
corporate-statement-of-information,Statement of Information,form,2,corporate,public,13422,56,t,"[""Corporate""]"
corporate-stock-ledger-certificates,Stock Ledger and Certificates,form,2,corporate,public,6793,32,t,"[""Corporate""]"
draft-stock-purchase-agreement,Stock Purchase Agreement,form,2,corporate,public,70541,228,t,"[""Corporate"", ""Transactional""]"
stock-purchase-agreement-ma,Stock Purchase Agreement M&A,form,2,corporate,public,76555,218,t,"[""Corporate"", ""Transactional""]"
corporate-finance-subordination-agreement-draft,Subordination Agreement,form,2,corporate,public,30957,114,t,"[""Corporate"", ""Transactional""]"
corporate-subscription-agreement-draft,Subscription Agreement,form,2,corporate,public,8285,34,t,"[""Corporate""]"
draft-subscription-agreement-for-investment-fund,Subscription Agreement for Fund,form,2,corporate,public,5934,26,t,"[""Corporate""]"
corporate-finance-term-loan-agreement-draft,Term Loan Agreement,form,2,corporate,public,23422,72,t,"[""Corporate"", ""Transactional""]"
corporate-term-sheet-equity-financing,Term Sheet for Equity Financing,form,2,corporate,public,28195,84,t,"[""Corporate""]"
corporate-securities-transfer-agent-agreement-draft,Transfer Agent Agreement,form,2,corporate,public,41378,130,t,"[""Corporate"", ""Regulatory"", ""Transactional""]"
corporate-transitional-services-agreement,Transitional Services Agreement,form,2,corporate,public,55448,220,t,"[""Corporate""]"
corporate-securities-underwriting-agreement-draft,Underwriting Agreement,form,2,corporate,public,8548,50,t,"[""Corporate"", ""Regulatory""]"
corporate-nonprofit-volunteer-waiver-release,Volunteer Waiver and Release,form,2,corporate,public,23981,100,t,"[""Corporate""]"
draft-corporate-voting-agreement,Voting Agreement,form,2,corporate,public,16820,62,t,"[""Corporate""]"
corporate-written-consent-in-lieu-of-meeting,Written Consent in Lieu of Meeting,form,2,corporate,public,12183,58,t,"[""Corporate""]"
cre-insurance-certificate-compliance-check,CRE Insurance Certificate Compliance Review,root,0,cre-insurance-certificate-compliance-check,public,33552,142,f,
deposition-30b6-corporate-rep,30(b)(6) Corporate Representative Deposition,form,0,deposition-30b6-corporate-rep,public,19693,513,f,"[""Litigation""]"
deposition-apex-witness,Apex Witness Deposition Module,form,0,deposition-apex-witness,public,12854,314,f,"[""Litigation""]"
deposition-deponent-coaching,Deponent Coaching Guide,form,0,deposition-deponent-coaching,public,13936,462,f,"[""Litigation""]"
deposition-document-assembly,Deposition Document Assembly,form,0,deposition-document-assembly,public,10947,379,f,"[""Litigation""]"
deposition-employment-supplement,Employment Litigation Deposition Supplement,form,0,deposition-employment-supplement,public,11023,384,f,"[""Litigation"", ""Employment""]"
deposition-errata-sheet,Deposition Errata Sheet Guide,form,0,deposition-errata-sheet,public,11768,346,f,"[""Litigation""]"
deposition-ethics-boundaries,Witness Preparation Ethics Boundaries,form,0,deposition-ethics-boundaries,public,17953,392,f,"[""Litigation""]"
deposition-exhibit-foundation-scripts,Deposition Exhibit Foundation Scripts,root,0,deposition-exhibit-foundation-scripts,draft,468,8,f,
deposition-expert-witness,Expert Witness Deposition Module,form,0,deposition-expert-witness,public,14637,415,f,"[""Litigation""]"
deposition-impeachment-builder,Deposition Impeachment Builder,root,0,deposition-impeachment-builder,public,32849,220,f,
deposition-ip-supplement,IP Litigation Deposition Supplement,form,0,deposition-ip-supplement,public,11967,403,f,"[""Litigation"", ""Intellectual Property""]"
deposition-notice-and-subpoena-drafter,Deposition Notice and Subpoena Drafter,root,0,deposition-notice-and-subpoena-drafter,public,33393,186,f,
deposition-notice-drafter,Deposition Notice Drafter,form,0,deposition-notice-drafter,public,10282,372,f,"[""Litigation""]"
deposition-objection-reference,Deposition Objection Reference,form,0,deposition-objection-reference,public,17571,473,f,"[""Litigation""]"
deposition-party-plaintiff-defense,Party Deposition Module,form,0,deposition-party-plaintiff-defense,public,12508,389,f,"[""Litigation""]"
deposition-preparation,Deposition Preparation,form,0,deposition-preparation,public,37825,178,f,"[""Litigation""]"
deposition-questioning-techniques,Deposition Questioning Techniques,form,0,deposition-questioning-techniques,public,16274,555,f,"[""Litigation""]"
deposition-transcript-analyzer,Deposition Transcript Analyzer,form,0,deposition-transcript-analyzer,public,9209,331,f,"[""Litigation""]"
deposition-witness-prep-session,Witness Preparation Session,form,0,deposition-witness-prep-session,public,17430,473,f,"[""Litigation""]"
discovery-deficiency-tracker,Discovery Deficiency and Meet-and-Confer Tracker,root,0,discovery-deficiency-tracker,public,32506,142,f,
discovery-verification-audit,Discovery Verification and Proof of Service Audit,root,0,discovery-verification-audit,public,37604,162,f,
document-formatting-court,Court Document Formatting,reference,0,document-formatting-court,public,772,35,t,
draft-api-acceptable-use-policy,Draft API Acceptable Use Policy (AUP),root,0,draft-api-acceptable-use-policy,public,33765,425,f,
draft-health-care-agent-instruction-letter,Draft Instruction Letter to Health Care Agent,root,0,draft-health-care-agent-instruction-letter,public,37087,202,f,
draft-psychiatric-advance-directive,Draft Psychiatric Advance Directive (PAD),root,0,draft-psychiatric-advance-directive,public,35700,212,f,
extract-technical-api-constraints,Extract Technical API Constraints for Legal Exhibits,root,0,extract-technical-api-constraints,public,23307,438,f,
insurance-bad-faith-notice-drafting,Insurance Bad Faith Notice (Time-Limited Demand),root,0,insurance-bad-faith-notice-drafting,public,36201,188,f,
intrastate-offering-compliance,Intrastate Offering Compliance (Rule 147/147A),root,0,intrastate-offering-compliance,public,40638,216,f,
invasive-testing-consent-letter,Invasive Testing Consent Letter (Phase II),root,0,invasive-testing-consent-letter,public,39520,174,f,
legal-research-methodology,Legal Research Methodology,reference,0,legal-research-methodology,public,843,34,t,
litigation,Litigation Practice,root,0,litigation,public,601,22,t,"[""Litigation""]"
adoption-law-summaries,Adoption Law Summaries,form,1,litigation,public,6856,24,t,"[""Litigation""]"
alternative-dispute-resolution-adr-outcomes-summary,Alternative Dispute Resolution (ADR) Outcomes,form,1,litigation,public,6673,38,t,"[""Litigation""]"
animal-law-case-summaries,Animal Law Case Summaries,form,1,litigation,public,36599,172,t,"[""Litigation""]"
litigation-appeals,Appeals,root,1,litigation,public,90,2,t,"[""Litigation""]"
litigation-bankruptcy-litigation,Bankruptcy  Litigation,root,1,litigation,public,105,2,t,"[""Litigation""]"
case-briefs,Case Briefs,form,1,litigation,public,4555,30,t,"[""Litigation""]"
case-summary-report,Case Summary Report (CSR),form,1,litigation,public,5674,32,t,"[""Litigation""]"
casemark-chronology-case-summary-analysis,CaseMark Chronology - highlevel overview of documents and information about the case,form,1,litigation,public,3229,12,t,"[""Litigation""]"
litigation-class-action,Class  Action,root,1,litigation,public,96,2,t,"[""Litigation""]"
litigation-commercial-litigation,Commercial  Litigation,root,1,litigation,public,105,2,t,"[""Litigation""]"
court-order-summaries,Court Order Summaries,form,1,litigation,public,5850,42,t,"[""Litigation""]"
litigation-criminal-defense,Criminal  Defense,root,1,litigation,public,100,2,t,"[""Litigation""]"
cross-examination-summaries,Cross-Examination Summaries,form,1,litigation,public,6237,38,t,"[""Litigation""]"
litigation-employment-litigation,Employment  Litigation,root,1,litigation,public,105,2,t,"[""Litigation""]"
litigation-family-law,Family  Law,root,1,litigation,public,94,2,t,"[""Litigation""]"
hearing-preparation-summaries,Hearing Preparation Summaries,form,1,litigation,public,5360,18,t,"[""Litigation""]"
human-rights-case-summaries,Human Rights Case Summaries,form,1,litigation,public,6477,36,t,"[""Litigation""]"
insurance-claim-summaries,Insurance Claim Summaries,form,1,litigation,public,5589,30,t,"[""Litigation""]"
litigation-intellectual-property-litigation,Intellectual  Property  Litigation,root,1,litigation,public,117,2,t,"[""Litigation""]"
judgment-summaries,Judgment Summaries,form,1,litigation,public,4404,28,t,"[""Litigation""]"
legal-memoranda,Legal Memoranda,form,1,litigation,public,5769,36,t,"[""Litigation""]"
legal-research-summaries,Legal Research Summaries,form,1,litigation,public,5645,36,t,"[""Litigation""]"
legal-strategy-summaries,Legal Strategy Summaries,form,1,litigation,public,3969,16,t,"[""Litigation""]"
litigation-personal-injury,Personal  Injury,root,1,litigation,public,99,2,t,"[""Litigation""]"
procedural-rule-summaries,Procedural Rule Summaries,form,1,litigation,public,5671,36,t,"[""Litigation""]"
litigation-real-estate-litigation,Real  Estate  Litigation,root,1,litigation,public,107,2,t,"[""Litigation""]"
litigation-settlement-proposals,Settlement Proposals,form,1,litigation,public,5266,20,t,"[""Litigation""]"
litigation-witness-statement-summaries,Witness Statement Summaries,form,1,litigation,public,2715,10,t,"[""Litigation""]"
ada-failure-to-accommodate-complaint,ADA Failure to Accommodate Complaint,form,2,litigation,public,29356,104,t,"[""Litigation""]"
litigation-abstract-of-judgment,Abstract of Judgment,form,2,litigation,public,5701,32,t,"[""Litigation""]"
litigation-bankruptcy-adversary-proceeding-complaint,Adversary Proceeding Complaint,form,2,litigation,public,6932,46,t,"[""Litigation""]"
litigation-real-estate-adverse-possession-claim,Adverse Possession Claim,form,2,litigation,public,7893,30,t,"[""Litigation""]"
litigation-amicus-briefs,Amicus Briefs,form,2,litigation,public,4238,14,t,"[""Litigation""]"
litigation-appeals-amicus-curiae-brief,Amicus Curiae Brief,form,2,litigation,public,39474,184,t,"[""Litigation""]"
litigation-answer-and-affirmative-defenses,Answer and Affirmative Defenses,form,2,litigation,public,15952,64,t,"[""Litigation""]"
employment-litigation-answer-to-harassment-complaint,Answer to Harassment Complaint,form,2,litigation,public,11440,48,t,"[""Litigation""]"
answer-with-invalidity-contentions,Answer with Invalidity Contentions,form,2,litigation,public,22397,74,t,"[""Litigation""]"
litigation-appeals-document-summarization,Appeal Document Summarization,form,2,litigation,public,4757,22,t,"[""Litigation""]"
litigation-appeals-appellant-brief,Appellate Brief for Appellant,form,2,litigation,public,19265,84,t,"[""Litigation""]"
litigation-appeals-appellate-mandate,Appellate Mandate,form,2,litigation,public,9615,50,t,"[""Litigation""]"
litigation-appeals-appellees-response-brief,Appellee's Response Brief,form,2,litigation,public,30967,90,t,"[""Litigation""]"
art-law-summaries,Art Law Summaries,form,2,litigation,public,4795,18,t,"[""Litigation""]"
attorney-representation-agreement-litigation-personal-injury,Attorney Representation Agreement,form,2,litigation,public,28325,94,t,"[""Litigation""]"
personal-injury-authorization-packet-summary,Authorization Packet Summary,form,2,litigation,public,13702,52,t,"[""Litigation""]"
litigation-criminal-defense-bail-hearing-summaries,Bail Hearing Summaries,form,2,litigation,public,4409,18,t,"[""Litigation""]"
litigation-appeals-bill-of-costs-on-appeal,Bill of Costs on Appeal,form,2,litigation,public,5357,40,t,"[""Litigation""]"
body-camera-incident-summary,Body Camera Incident Summary,form,2,litigation,public,37504,146,t,"[""Litigation""]"
boundary-dispute-complaint,Boundary Dispute Complaint,form,2,litigation,public,4540,30,t,"[""Litigation""]"
cafa-notice-of-removal,CAFA Notice of Removal,form,2,litigation,public,10798,66,t,"[""Litigation""]"
case-intake-initial-fact-memo,Case Intake & Initial Fact Memo,form,2,litigation,public,40536,138,t,"[""Litigation""]"
case-viability-conflict-check-report,Case Viability & Conflict Check Report,form,2,litigation,public,15247,52,t,"[""Litigation""]"
litigation-bankruptcy-cash-collateral-motion,Cash Collateral Motion,form,2,litigation,public,23755,90,t,"[""Litigation""]"
cease-and-desist-letter-trademark,Cease and Desist Letter - Trademark,form,2,litigation,public,16063,68,t,"[""Litigation""]"
litigation-appeals-certificate-of-interested-persons,Certificate of Interested Persons,form,2,litigation,public,8503,40,t,"[""Litigation""]"
litigation-family-law-child-support-guidelines-worksheet,Child Support Guidelines Worksheet,form,2,litigation,public,15475,42,t,"[""Litigation""]"
claim-construction-order,Claim Construction Order,form,2,litigation,public,8721,52,t,"[""Litigation""]"
litigation-class-action-claim-form-class-members,Claim Form for Class Members,form,2,litigation,public,8610,42,t,"[""Litigation""]"
litigation-class-action-complaint,Class Action Complaint,form,2,litigation,public,6557,36,t,"[""Litigation""]"
litigation-class-action-settlement-agreement,Class Action Settlement Agreement,form,2,litigation,public,7346,36,t,"[""Litigation""]"
class-action-lawsuit-summaries,Class Action Suit Summaries,form,2,litigation,public,6631,32,t,"[""Litigation""]"
litigation-personal-injury-client-intake-summary,Client Intake Summary / Questionnaire,form,2,litigation,public,16379,66,t,"[""Litigation""]"
litigation-class-action-communication-plan-class-notice,Communication Plan for Class Notice,form,2,litigation,public,11411,66,t,"[""Litigation""]"
draft-complaint-breach-of-contract,Complaint for Breach of Contract,form,2,litigation,public,8774,46,t,"[""Litigation""]"
complaint-for-breach-of-purchase-agreement,Complaint for Breach of Purchase Agreement,form,2,litigation,public,9355,38,t,"[""Litigation""]"
complaint-for-copyright-infringement,Complaint for Copyright Infringement,form,2,litigation,public,9258,48,t,"[""Litigation""]"
complaint-for-negligence,Complaint for Negligence,form,2,litigation,public,25104,78,t,"[""Litigation""]"
complaint-for-partition-of-real-property,Complaint for Partition of Real Property,form,2,litigation,public,9092,55,t,"[""Litigation""]"
complaint-for-patent-infringement,Complaint for Patent Infringement,form,2,litigation,public,22310,72,t,"[""Litigation""]"
complaint-for-retaliation-employment-litigation,Complaint for Retaliation,form,2,litigation,public,19360,68,t,"[""Litigation""]"
litigation-complaint-specific-performance,Complaint for Specific Performance,form,2,litigation,public,7960,22,t,"[""Litigation""]"
complaint-for-trespass-and-nuisance,Complaint for Trespass and Nuisance,form,2,litigation,public,8535,50,t,"[""Litigation""]"
